ref_no,name,pointx_class,feature_easting,feature_northing,description,x_normed,y_normed,longitude,latitude
125695128,Beadoir,7370487,538411.9,177799.0,"A place that produces jewellery, gems, clocks and watches, a type of manufacturing and production",0.5963412746194211,0.4776313851661361,-0.009290333338299,51.48114093885684
107701594,OTC Direct Limited,2100167,519037.6,164886.7,"A place of headquarters, administration and central offices, a type of personal, consumer and other services",0.264701126687882,0.1859999320275064,-0.2911169382195914,51.36984016764784
133927074,Hermis,9470699,540444.1,183213.2,"A place of convenience stores and independent supermarkets, a type of retail",0.6341274619420315,0.6010920914003467,0.0244934016936677,51.52956469495527
16446297,Day Lewis Pharmacy,5280364,537725.0,176185.5,"A place of chemists and pharmacies, a type of health practitioners and establishments",0.5826954502451192,0.4412887584824008,-0.021331401854779,51.46692016471384
75339327,Next Door Properties,2110190,531514.2,177560.9,"A place of property sales, a type of property and development services",0.4776124537713941,0.4723748456457953,-0.1087165731157239,51.48070111177773
166079815,Sutton Green,2090811,525661.6,165133.6,"A place of paypoint locations, a type of legal and financial",0.3794960006880536,0.1895186414564239,-0.1952389696546086,51.36979939702769
156920820,Capelli Belli,2100156,516923.0,182400.9,"A place of hair and beauty services, a type of personal, consumer and other services",0.2276941601444912,0.5780720735009233,-0.3162988238783352,51.52581455356975
16427385,Dr Shah & Partner,5280369,546561.4,187555.3,"A place of doctors surgeries, a type of health practitioners and establishments",0.733878042487314,0.6997654948963986,0.1098419382060005,51.56722362287004
146686557,Sitela Fruits Ltd,2150225,535649.4,187905.6,"A place of import and export services, a type of transport, storage and delivery",0.5510449815085576,0.7035039820552617,-0.0433510415458252,51.57136284325654
22045597,Bus Stop (Christie Drive),10590732,534183.3,167501.2,"A place of bus stops, a type of bus transport",0.5208566268168917,0.2468194537277248,-0.0762969213700615,51.39065020970197
